ChEBI ID,ChEBI Name,SMILES,PubChem SID
177972,"3,4,5-trihydroxy-6-{[5,6,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl]oxy}oxane-2-carboxylic acid",O1C(OC2=C(OC3=C(C2=O)C(O)=C(O)C(O)=C3)C4=CC(OC)=C(O)C=C4)C(O)C(O)C(O)C1C(O)=O,"SID: 85377015
CID: 131835070"
191634,Neoliquiritin 2''-apioside,O(C1C(O)C(O)C(OC1OC2=CC=3OC(CC(=O)C3C=C2)C4=CC=C(O)C=C4)CO)C5OCC(O)(C5O)CO,"SID: 85390422
CID: 131752849"
186794,Haploside F,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC2=C(O)C=3OC(=C(O)C(=O)C3C(O)=C2)C4=CC(OC)=C(O)C=C4)CO)[C@@H]5OC([C@H](O)[C@H](O)C5O)C,"SID: 85385648
CID: 44260005"
197154,Sagittatoside A,O([C@@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3CC=C(C)C)C4=CC=C(OC)C=C4)C)[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO,"SID: 85395895
CID: 13916054"
188752,Diosmetin 7-O-beta-D-glucopyranoside,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC(O)=C(OC)C=C4)CO,"SID: 85387578
CID: 11016019"
187135,Embinin,O([C@@H]1[C@@H](O)[C@H](O)[C@H](OC1C=2C(O)=C3C(OC(=CC3=O)C4=CC=C(OC)C=C4)=CC2OC)CO)C5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O)C,"SID: 85385985
CID: 3085014"
179354,"5,6,7,8,3',4',5'-Heptamethoxyflavanone",O1C(CC(=O)C2=C1C(OC)=C(OC)C(OC)=C2OC)C3=CC(OC)=C(OC)C(OC)=C3,"SID: 85378379
CID: 14162684"
176101,4'-O-Methylglucoliquiritigenin,O1C(C(O)C(O)C(O)C1OC2=CC=3OC(CC(=O)C3C=C2)C4=CC=C(OC)C=C4)CO,"CID: 75614571
SID: 85375165"
196626,Agehoustin D,O1C=2C(=C(O)C(OC)=C(OC)C2OC)C(=O)C=C1C=3C(OC)=C(O)C(OC)=C(OC)C3,"SID: 85395369
CID: 13914993"
184692,Kaempferide 3-O-sulfate,S(OC1=C(OC=2C(C1=O)=C(O)C=C(O)C2)C3=CC=C(OC)C=C3)(O)(=O)=O,"SID: 85383596
CID: 14777889"
190794,"5-hydroxy-7-methoxy-3-(3-methoxyphenyl)-8-methyl-3,4-dihydro-2H-1-benzopyran-4-one",O1CC(C(=O)C2=C1C(=C(OC)C=C2O)C)C3=CC(OC)=CC=C3,"SID: 85389592
CID: 131835823"
