ChEBI_ID,ChEBI_Name,SMILES,PubChemSID,PubChemCID
177972,"3,4,5-trihydroxy-6-{[5,6,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl]oxy}oxane-2-carboxylic acid",O1C(OC2=C(OC3=C(C2=O)C(O)=C(O)C(O)=C3)C4=CC(OC)=C(O)C=C4)C(O)C(O)C(O)C1C(O)=O,85377015,131835070
191634,Neoliquiritin 2''-apioside,O(C1C(O)C(O)C(OC1OC2=CC=3OC(CC(=O)C3C=C2)C4=CC=C(O)C=C4)CO)C5OCC(O)(C5O)CO,85390422,131752849
186794,Haploside F,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC2=C(O)C=3OC(=C(O)C(=O)C3C(O)=C2)C4=CC(OC)=C(O)C=C4)CO)[C@@H]5OC([C@H](O)[C@H](O)C5O)C,85385648,44260005
197154,Sagittatoside A,O([C@@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3CC=C(C)C)C4=CC=C(OC)C=C4)C)[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO,85395895,13916054
188752,Diosmetin 7-O-beta-D-glucopyranoside,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC(O)=C(OC)C=C4)CO,85387578,11016019
187135,Embinin,O([C@@H]1[C@@H](O)[C@H](O)[C@H](OC1C=2C(O)=C3C(OC(=CC3=O)C4=CC=C(OC)C=C4)=CC2OC)CO)C5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O)C,85385985,3085014
179354,"5,6,7,8,3',4',5'-Heptamethoxyflavanone",O1C(CC(=O)C2=C1C(OC)=C(OC)C(OC)=C2OC)C3=CC(OC)=C(OC)C(OC)=C3,85378379,14162684
176101,4'-O-Methylglucoliquiritigenin,O1C(C(O)C(O)C(O)C1OC2=CC=3OC(CC(=O)C3C=C2)C4=CC=C(OC)C=C4)CO,85375165,75614571
196626,Agehoustin D,O1C=2C(=C(O)C(OC)=C(OC)C2OC)C(=O)C=C1C=3C(OC)=C(O)C(OC)=C(OC)C3,85395369,13914993
184692,Kaempferide 3-O-sulfate,S(OC1=C(OC=2C(C1=O)=C(O)C=C(O)C2)C3=CC=C(OC)C=C3)(O)(=O)=O,85383596,14777889
190794,"5-hydroxy-7-methoxy-3-(3-methoxyphenyl)-8-methyl-3,4-dihydro-2H-1-benzopyran-4-one",O1CC(C(=O)C2=C1C(=C(OC)C=C2O)C)C3=CC(OC)=CC=C3,85389592,131835823
190108,8-C-Methylquercetin 3-xyloside,O1[C@@H](OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3C)C4=CC(O)=C(O)C=C4)C(O)C(O)[C@H](O)C1,85388919,44259214
179455,"3,5,8,3'-Tetramethoxy-6,7:4',5'-bis(methylenedioxy)flavone",O1C2=C(C(OC)=C3OCOC3=C2OC)C(=O)C(OC)=C1C4=CC=5OCOC5C(OC)=C4,85378477,44260080
184500,"5-Hydroxy-2-(4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)-7-[(3,4,5-trihydroxy-6-{[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]methyl}oxan-2-yl)oxy]-3,4-dihydro-2H-1-benzopyran-4-one",O1C(C(O)C(O)C(O)C1OC=2C=C3OC(CC(=O)C3=C(O)C2)C4=CC=C(OC5OC(C(O)C(O)C5O)CO)C=C4)COC6OC(C(O)C(O)C6O)C,85383424,14375140
169620,"({6-[(2-{[2-(3,4-dihydroxyphenyl)-7-hydroxy-5-oxo-5H-chromen-3-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl)oxy]-3,4,5-trihydroxyoxan-2-yl}methyl)[hydroxy(4-hydroxyphenyl)methylidene]oxidanium",O(C1C(O)C(O)C(OC1OC2=C(OC=3C(=C2)C(O)=CC(=O)C3)C4=CC(O)=C(O)C=C4)CO)C5OC(C(O)C(O)C5O)COC(=[OH+])C6=CC=C(O)C=C6,85368797,131831708
136619,Kaempferol 3-O-arabinoside,C=1C=C(C=CC1C2=C(C(C3=C(C=C(C=C3O2)O)O)=O)O[C@]4([C@]([C@@]([C@@](CO4)([H])O)([H])O)([H])O)[H])O,85336353,5481882
173296,Chalconosakuranetin,O1C(C(O)C(O)C(O)C1OC=2C(=C(O)C=C(OC)C2)C(=O)/C=C/C3=CC=C(O)C=C3)CO,85372403,14524443
197243,"5,7-Dihydroxy-3-methoxy-4'-prenyloxyflavone",O1C(C2=CC=C(OCC=C(C)C)C=C2)=C(OC)C(=O)C=3C1=CC(O)=CC3O,85395982,44259651
185171,"5-Hydroxy-7,2',3',4',5'-pentamethoxyflavone",O1C(C=2C(OC)=C(OC)C(OC)=C(OC)C2)=CC(=O)C=3C1=CC(OC)=CC3O,85384057,5742693
179865,"3,4,2',4',6'-Pentahydroxychalcone 4'-glucoside",O1C(C(O)C(O)C(O)C1OC2=CC(O)=C(C(O)=C2)C(=O)/C=C/C3=CC(O)=C(O)C=C3)CO,85378884,42607612
188163,Apigenin 7-glucuronosyl-(1->2)-glucuronide,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC=C(O)C=C4)C(O)=O)[C@@H]5OC([C@@H](O)[C@H](O)C5O)C(O)=O,85386999,44257815
186359,8-Hydroxyhesperetin,O1[C@@H](CC(=O)C2=C1C(O)=C(O)C=C2O)C3=CC(O)=C(OC)C=C3,85385216,42608121
184839,Kaempferol 4'-methyl ether 3-(2Glc-glucosylrutinoside),O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC=C(OC)C=C4)CO[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C)[C@@H]6OC([C@@H](O)[C@H](O)C6O)CO,85383738,44257996
185458,Kaempferol 3-xylosyl-(1->2)-rhamnoside,O([C@H]1C(O)[C@@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC=C(O)C=C4)C)[C@@H]5OC[C@@H](O)C(O)[C@H]5O,85384332,44258927
189521,Hemiphloin,O1[C@]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)(C2=C(O)C3=C(O[C@@H](CC3=O)C4=CC=C(O)C=C4)C=C2O)[H],85388339,160711
177952,Kaempferol 3-(3Rha-glucosylrutinoside),O([C@@H]1C(O)[C@@H](OC([C@@H]1O)C)OCC2O[C@@H](OC3=C(OC=4C(C3=O)=C(O)C=C(O)C4)C5=CC=C(O)C=C5)C(O)C(O)[C@@H]2O)[C@@H]6OC([C@@H](O)[C@H](O)C6O)CO,85376995,44258818
189129,Kaempferol-3-O-glucoside-7-O-rhamnoside,O1C(C(O)C(O)C(O)C1OC=2C(=O)C=3C(OC2C4=CC=C(O)C=C4)=CC(OC5OC(C(O)C(O)C5O)C)=CC3O)CO,85387950,14035324
187512,Vitexin 2''-O-(2'''-methylbutyryl),O1[C@](C(OC(=O)C(CC)C)[C@@H](O)[C@H](O)C1CO)(C=2C=3OC(=CC(=O)C3C(O)=CC2O)C4=CC=C(O)C=C4)[H],85386355,44257732
136621,Quercetin 3-O-glucosylrutinoside,C1=C(C=C(C2=C1OC(=C(C2=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O)O,85336355,102332276
169022,3-(3-Methylbutyl)tricetin 5-neohesperidoside,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC=2C3=C(OC(=C(C3=O)CCC(C)C)C4=CC(O)=C(O)C(O)=C4)C=C(O)C2)CO)[C@@H]5OC([C@H](O)[C@H](O)C5O)C,85368203,44258245
197252,Syringetin 3-(6'''-acetylglucosyl)(1->3)-galactoside,O(C1[C@@H](O)C(O[C@@H](OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(OC)=C(O)C(OC)=C4)[C@@H]1O)CO)[C@@H]5OC([C@@H](O)[C@H](O)C5O)COC(=O)C,85395991,44259489
192882,Scoparin 2''-xyloside,O1C(C(OC2OCC(O)C(O)C2O)C(O)C(O)C1CO)C=3C=4OC(=CC(=O)C4C(O)=CC3O)C5=CC(OC)=C(O)C=C5,85391658,74977686
169289,Madreselvin B,O1C([C@@H](O)[C@H](O)C(O)[C@@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(O)=C(O)C=C4)CO[C@@H]5OC([C@@H](O)[C@H](O)C5O)COC(=O)/C=C/C6=CC(O)=C(O)C=C6,85368467,44258007
196630,"3',5'-Dihydroxy-3,5,6,7,8,4'-hexamethoxyflavone",O1C2=C(C(OC)=C(OC)C(OC)=C2OC)C(=O)C(OC)=C1C3=CC(O)=C(OC)C(O)=C3,85395373,44260076
192869,Pinocembrin 5-O-glucoside,O1C(C(O)C(O)C(O)C1OC=2C3=C(OC(CC3=O)C4=CC=CC=C4)C=C(O)C2)CO,85391645,4142221
191641,"Isovitexin 4',7-diglucoside",O1C(C(O)C(O)C(O)C1CO)C2=C(OC3OC(C(O)C(O)C3O)CO)C=C4OC(=CC(=O)C4=C2O)C5=CC=C(OC6OC(C(O)C(O)C6O)CO)C=C5,85390429,131751646
172734,"3,3',5,5'-Tetrahydroxy-6,7-methyleneoxy-4'-methoxyflavone 3-glucuronide",O1C(OC2=C(OC=3C(C2=O)=C(O)C=4OCOC4C3)C5=CC(O)=C(OC)C(O)=C5)C(O)C(O)C(O)C1C(O)=O,85371847,131752278
196633,Isomonospermoside,O1[C@@H]([C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1OC=2C=C(C3OC4=C(C(=O)C3)C=CC(O)=C4)C=CC2O)CO,85395376,42607822
175799,"4',5-Dihydroxy-3',5',7,8-tetramethoxyflavone",O1C2=C(C(=O)C=C1C3=CC(OC)=C(O)C(OC)=C3)C(O)=CC(OC)=C2OC,85374871,13871366
169267,"3',4',5-Trihydroxy-3-methoxy-6,7-methylenedioxyflavone 4'-glucuronide",O1C(C(O)C(O)C(O)C1OC2=C(O)C=C(C=C2)C=3OC=4C(C(=O)C3OC)=C(O)C=5OCOC5C4)C(O)=O,85368445,74978486
168350,"6-{[3-(3,7-dimethylocta-2,6-dien-1-yl)-5-hydroxy-6-(3-methylbut-2-en-1-yl)-4-oxo-2-(2,4,5-trihydroxyphenyl)-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",O1C(OC2=C(C(O)=C3C(OC(=C(C3=O)C/C=C(\CCC=C(C)C)/C)C=4C(O)=CC(O)=C(O)C4)=C2)CC=C(C)C)C(O)C(O)C(O)C1C(O)=O,85367540,131836009
174556,Dihydroformononetin,O1CC(C2=CC=C(OC)C=C2)C(=O)C3=C1C=C(O)C=C3,85373652,14730796
184679,Artabotryside B,O([C@H]1C(O)[C@@H](O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC=C(O)C=C4)CO)[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C,85383585,44258976
168410,"Myricetin 3-(3'',4''-diacetylrhamnoside)",O1C([C@H](OC(=O)C)C(OC(=O)C)[C@H](O)[C@@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(O)=C(O)C(O)=C4)C,85367598,44259471
113530,"(3R)-7,8-dimethoxy-3-(2,3,4-trimethoxyphenyl)-3,4-dihydro-2H-1-benzopyran",COC1=C(C2=C(C[C@@H](CO2)C3=C(C(=C(C=C3)OC)OC)OC)C=C1)OC,85318816,6708574
179859,8-C-Glucopyranosyleriodictylol,O1[C@]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)(C2=C3OC(CC(=O)C3=C(O)C=C2O)C4=CC(O)=C(O)C=C4)[H],85378878,42607963
187792,Limocitrol 3-[alpha-L-arabinopyranosyl-(1->3)[galactosyl-(1->6)]-galactoside],O1C([C@H](O)[C@H](O[C@@H]2OC[C@H](O)[C@H](O)C2O)C(O)[C@@H]1OC3=C(OC=4C(C3=O)=C(O)C(OC)=C(O)C4OC)C5=CC(OC)=C(O)C=C5)CO[C@@H]6OC([C@H](O)[C@H](O)C6O)CO,85386632,44260058
219077,Citrifelin B,O1C2=C3C(=C(C)C(=C2)O)[C@@H]([C@@H](C)O[C@@H]3C[C@@H]1C4=CC(OC)=C(O)C=C4)C,,
175928,"3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone",O1C2=C(C(OC)=C(OC)C(OC)=C2OC)C(=O)C=C1C3=CC(O)=C(OC)C=C3,85374997,183466
192924,Alternanthin,O1[C@@](CC(O)[C@H](O)[C@H]1C)(C2=C(O)C3=C(OC(=CC3=O)C4=CC(OC)=C(O)C=C4)C=C2O)[H],85391699,44258156
186432,"Okanin 3,4-dimethyl ehter 4'-glucoside",O1[C@@H]([C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1OC2=C(O)C(O)=C(C=C2)C(=O)/C=C/C3=CC(OC)=C(OC)C=C3)CO,85385289,42607573
186774,Isoembigenin,O1[C@](C(O)[C@@H](O)[C@@H](O)C1CO)(C=2C=3OC(=CC(=O)C3C(O)=CC2OC)C4=CC=C(OC)C=C4)[H],85385628,44258361
169069,"5-Hydroxy-7,4'-dimethoxy-6,8-di-C-prenylflavanone 5-O-galactoside",O1C(C(O)C(O)C(O)C1OC2=C3C(OC(CC3=O)C4=CC=C(OC)C=C4)=C(C(OC)=C2C)C)CO,85368249,42608074
172773,6''-O-Galloylquercimeritrin,O1C(C(O)C(O)C(O)C1OC=2C=C3OC(=C(O)C(=O)C3=C(O)C2)C4=CC(O)=C(O)C=C4)COC(=O)C5=CC(O)=C(O)C(O)=C5,85371885,74977604
191433,Quercetin-4'-glucuronide,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2=C(O)C=C(C=C2)C=3OC=4C(C(=O)C3O)=C(O)C=C(O)C4)C(O)=O,85390225,57331045
177949,Isorhamnetin 3-sambubioside,O(C1C(O)[C@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(OC)=C(O)C=C4)CO)[C@@H]5OC[C@@H](O)C(O)[C@H]5O,85376992,44258011
196628,"5,7-Dihydroxy-3,6,8,3',4',5'-hexamethoxyflavone",O1C=2C(C(=O)C(OC)=C1C3=CC(OC)=C(OC)C(OC)=C3)=C(O)C(OC)=C(O)C2OC,85395371,5386963
191435,Catechin 7-glucoside,O1C(C(O)C(O)C(O)C1OC=2C=C3OC(C(O)CC3=C(O)C2)C4=CC(O)=C(O)C=C4)CO,85390227,14282767
